                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3527,                0.79869,                 1.1552,                0.93288,                0.62222,                0.73878,                0.46484,                 1.2855,                 1.0431,                 1.1876,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.3675,                0.80615,                  1.164,                0.82443,                0.73053,                0.82724,                0.50325,                 1.2806,                0.95736,                 1.1722,             5.9802e-05,             5.9802e-05,             5.9802e-05
                      3,                 1.2518,                 0.6689,                 1.2018,                0.79568,                0.75556,                 0.8697,                0.54238,                 1.2544,                 0.8781,                  1.153,              9.934e-05,              9.934e-05,              9.934e-05
                      4,                 1.2546,                0.65065,                  1.112,                0.91506,                0.84444,                0.92818,                0.57489,                 1.2423,                0.78404,                 1.1405,             0.00013861,             0.00013861,             0.00013861
                      5,                0.95642,                0.52177,                0.99541,                0.96342,                0.88889,                 0.9646,                0.59215,                 1.2591,                 0.7389,                 1.1394,             0.00017762,             0.00017762,             0.00017762
                      6,                 1.1556,                0.57769,                 1.0795,                0.97608,                0.90671,                0.97079,                0.59212,                 1.2816,                0.71427,                 1.1413,             0.00021637,             0.00021637,             0.00021637
                      7,                 1.1045,                0.53442,                 1.1172,                0.95336,                0.90846,                0.97521,                0.60907,                 1.2833,                0.70781,                 1.1406,             0.00025485,             0.00025485,             0.00025485
                      8,                 1.2179,                0.57463,                 1.1512,                0.91998,                0.93333,                0.97494,                0.62324,                  1.235,                 0.7152,                 1.1223,             0.00029307,             0.00029307,             0.00029307
                      9,                 1.2941,                0.60365,                 1.1131,                0.89373,                0.93333,                0.97334,                0.64088,                 1.2071,                0.71845,                 1.1103,             0.00033102,             0.00033102,             0.00033102
                     10,                 1.2931,                0.65229,                 1.1387,                0.93513,                 0.9611,                0.98037,                0.66231,                 1.1801,                0.69749,                 1.0991,             0.00036871,             0.00036871,             0.00036871
                     11,                 1.2088,                0.58506,                 1.0768,                0.91511,                0.95822,                0.98092,                 0.6725,                 1.1615,                0.67377,                 1.0891,             0.00040614,             0.00040614,             0.00040614
                     12,                 1.1406,                 0.5846,                 1.0618,                0.91531,                0.96078,                0.98082,                 0.6848,                 1.1377,                 0.6501,                 1.0781,              0.0004433,              0.0004433,              0.0004433
                     13,                 1.1051,                0.53473,                  1.035,                0.89644,                0.97778,                0.98281,                0.68531,                 1.1232,                0.62227,                 1.0709,              0.0004802,              0.0004802,              0.0004802
                     14,                  1.151,                0.56095,                 1.0481,                 0.9139,                0.94364,                0.98333,                0.67791,                  1.122,                0.60652,                 1.0707,             0.00051683,             0.00051683,             0.00051683
                     15,                 1.2233,                0.62759,                 1.0758,                0.93334,                0.93344,                0.98411,                 0.6729,                 1.1375,                0.59716,                  1.076,              0.0005532,              0.0005532,              0.0005532
                     16,                 1.1366,                 0.5811,                  1.099,                0.93598,                0.97468,                0.98451,                0.67326,                 1.1349,                0.58971,                 1.0725,             0.00058931,             0.00058931,             0.00058931
                     17,                 1.1107,                0.55552,                  1.087,                  0.935,                0.95911,                0.98589,                0.67706,                 1.1338,                0.59152,                 1.0699,             0.00062515,             0.00062515,             0.00062515
                     18,                 1.0769,                0.56925,                 1.0262,                0.95539,                0.95198,                0.98735,                0.68293,                 1.1224,                0.58767,                 1.0635,             0.00066073,             0.00066073,             0.00066073
                     19,                 1.1157,                0.56006,                 1.0329,                0.95289,                0.95556,                0.98956,                0.69703,                 1.0994,                0.57139,                  1.049,             0.00069604,             0.00069604,             0.00069604
                     20,                 1.0666,                0.57493,                 1.0497,                0.95508,                0.95556,                0.98998,                0.70716,                 1.0603,                0.54972,                 1.0314,             0.00073109,             0.00073109,             0.00073109
                     21,                 1.0047,                0.51332,                 1.0323,                0.95598,                0.96533,                0.99122,                0.72515,                 1.0292,                0.53698,                 1.0176,             0.00076588,             0.00076588,             0.00076588
                     22,                 1.1425,                0.57819,                 1.0863,                  0.956,                0.96573,                0.99197,                0.72554,                 1.0206,                0.53455,                 1.0126,              0.0008004,              0.0008004,              0.0008004
                     23,                 1.1917,                0.61177,                 1.0771,                0.95591,                0.96381,                0.99129,                 0.7292,                 1.0406,                0.55049,                 1.0178,             0.00083466,             0.00083466,             0.00083466
                     24,                 1.0026,                0.51975,                0.98701,                0.97135,                0.97778,                0.99282,                0.71384,                  1.061,                 0.5617,                 1.0281,             0.00086865,             0.00086865,             0.00086865
                     25,                0.99283,                0.55161,                 1.0453,                0.95681,                      1,                0.99326,                0.70804,                 1.0705,                0.55804,                 1.0334,             0.00090238,             0.00090238,             0.00090238
                     26,                 1.0488,                0.55434,                 1.0298,                0.95571,                      1,                 0.9937,                0.71838,                 1.0511,                 0.5388,                 1.0299,             0.00093585,             0.00093585,             0.00093585
                     27,                  1.007,                0.52598,                0.98526,                0.95371,                      1,                 0.9937,                0.72747,                 1.0045,                0.51328,                 1.0188,             0.00096905,             0.00096905,             0.00096905
                     28,                0.99958,                0.51867,                 1.0024,                0.95371,                      1,                 0.9937,                0.72747,                 1.0045,                0.51328,                 1.0188,               0.001002,               0.001002,               0.001002
                     29,                0.98376,                0.52664,                0.96053,                0.99319,                      1,                  0.995,                0.74069,                0.95592,                0.50249,                 1.0095,              0.0010347,              0.0010347,              0.0010347
                     30,                0.98445,                0.51755,                0.98761,                0.98416,                      1,                  0.995,                0.72452,                0.97579,                0.50027,                 1.0178,              0.0010671,              0.0010671,              0.0010671
                     31,                 1.0689,                0.55898,                 1.0323,                0.98416,                      1,                  0.995,                0.72452,                0.97579,                0.50027,                 1.0178,              0.0010992,              0.0010992,              0.0010992
                     32,                 1.1127,                0.57728,                 1.0431,                0.99325,                      1,                  0.995,                0.70697,                0.99752,                0.50529,                 1.0269,              0.0011311,              0.0011311,              0.0011311
                     33,                  1.061,                0.58586,                 1.0183,                0.99393,                      1,                  0.995,                0.70711,                0.97547,                 0.5074,                 1.0173,              0.0011627,              0.0011627,              0.0011627
                     34,                 1.0594,                0.56241,                 1.0079,                0.99393,                      1,                  0.995,                0.70711,                0.97547,                 0.5074,                 1.0173,              0.0011941,              0.0011941,              0.0011941
                     35,                0.96941,                0.55782,                 1.0032,                0.99353,                      1,                  0.995,                0.72791,                0.94931,                0.50143,                 1.0078,              0.0012252,              0.0012252,              0.0012252
                     36,                 1.0558,                0.54187,                 1.0113,                0.99034,                      1,                  0.995,                0.73847,                0.94443,                0.48898,                 1.0013,               0.001256,               0.001256,               0.001256
                     37,                0.98845,                0.52184,                0.97913,                0.99034,                      1,                  0.995,                0.73847,                0.94443,                0.48898,                 1.0013,              0.0012866,              0.0012866,              0.0012866
                     38,                 1.0622,                 0.5296,                0.96839,                0.98572,                      1,                  0.995,                0.74933,                0.97201,                0.48609,                 1.0052,              0.0013169,              0.0013169,              0.0013169
                     39,                  1.037,                  0.546,                 1.0232,                0.98835,                      1,                  0.995,                0.73909,                0.99851,                0.48819,                 1.0075,              0.0013469,              0.0013469,              0.0013469
                     40,                0.92329,                0.47878,                0.98478,                0.98835,                      1,                  0.995,                0.73909,                0.99851,                0.48819,                 1.0075,              0.0013767,              0.0013767,              0.0013767
